FirstName,LastName,Address,Block,StreetName,UnitNumber,PostalCode,MonthlyIncome,AmountInStocks,AmountInBonds,HasRelationshipManager,HighNetWorthIndividual
David,Langdon,Block 475 Bedok North #84-6612 Singapore 475226,Block 475, Bedok North,84-6612,475226,5093,High,Low,Yes,No
Bella,Chapman,Block 925 Cactus Dr #76-742 Singapore 925424,Block 925, Cactus Dr,76-742,925424,6918,High,Low,Yes,No
Connor,Ogden,Block 617 Temasek Boulevard #13-5833 Singapore 617455,Block 617, Temasek Boulevard,13-5833,617455,8346,High,Low,Yes,Yes
Adam,Springer,Block 904 Gul Drive #63-8429 Singapore 904977,Block 904, Gul Drive,63-8429,904977,8961,High,Low,No,Yes
Kimberly,Wilkins,Block 698 Colombo Court #42-8430 Singapore 698965,Block 698, Colombo Court,42-8430,698965,7294,High,Low,Yes,No
Adam,Morrison,Block 340 South Bridge Road #99-8314 Singapore 340734,Block 340, South Bridge Road,99-8314,340734,6967,High,Low,Yes,No
Sue,Avery,Block 659 Yishun Street #42-4039 Singapore 659613,Block 659, Yishun Street,42-4039,659613,5022,Low,High,Yes,No
Alexandra,Parsons,Block 609 Ubi Road #41-5334 Singapore 609649,Block 609, Ubi Road,41-5334,609649,8347,High,Low,Yes,Yes
Colin,Jones,Block 105 Ang Mo Kio #47-143 Singapore 105362,Block 105, Ang Mo Kio,47-143,105362,9261,High,Low,Yes,Yes
Carolyn,Kelly,Block 883 Kallang Place #37-164 Singapore 883301,Block 883, Kallang Place,37-164,883301,2652,Low,High,No,No
Sonia,Morgan,Block 799 Mountbatten Road #22-5831 Singapore 799481,Block 799, Mountbatten Road,22-5831,799481,4479,Low,High,Yes,No
Adam,Clarkson,Block 466 Serangoon North #11-5076 Singapore 466401,Block 466, Serangoon North,11-5076,466401,1140,Low,High,Yes,No
Amelia,Ross,Block 663 Battery Road #52-1777 Singapore 663115,Block 663, Battery Road,52-1777,663115,6044,High,Low,Yes,No
Edward,McDonald,Block 170 Tampines Street #10-3548 Singapore 170351,Block 170, Tampines Street,10-3548,170351,1963,Low,High,No,No
Alison,Scott,Block 538 Lock Road #92-3023 Singapore 538423,Block 538, Lock Road,92-3023,538423,3422,High,Low,No,No
Adrian,Nash,Block 727 Bencoolen Street #26-1728 Singapore 727741,Block 727, Bencoolen Street,26-1728,727741,7326,High,Low,Yes,No
Simon,Hemmings,Block 605 Woodlands Loop #40-7322 Singapore 605960,Block 605, Woodlands Loop,40-7322,605960,7968,High,Low,Yes,No
Brandon,Dowd,Block 244 Science Park Drive #60-6643 Singapore 244239,Block 244, Science Park Drive,60-6643,244239,6983,High,Low,Yes,No
Katherine,Paterson,Block 738 Far East Plaza #11-3835 Singapore 738802,Block 738, Far East Plaza,11-3835,738802,6604,High,Low,Yes,No
Trevor,Jackson,Block 287 Newton Road #46-6019 Singapore 287250,Block 287, Newton Road,46-6019,287250,1173,Low,High,No,No
James,Black,Block 812 Petain Road #59-6597 Singapore 812292,Block 812, Petain Road,59-6597,812292,6352,High,Low,Yes,No
Sonia,Lee,Block 212 Tyrwhitt Road #56-3174 Singapore 212290,Block 212, Tyrwhitt Road,56-3174,212290,3373,Low,High,No,No
Amelia,Hudson,Block 958 Bukit Batok Street #16-2977 Singapore 958506,Block 958, Bukit Batok Street,16-2977,958506,1047,Low,High,No,No
